Artiste,Nom musique,Album,user_id,track_duration
Paul Kalkbrenner,que ce soit clair,que ce soit clair,66,176
Thylacine,goodnight,roads vol 3 ,66,291
Thylacine,dokido,dokido,66,239
Grégoire,Toi + moi,toi + moi,65,182
Grégoire,vivre,vivre,65,146
Damso,macarena,ipséité,59,207
Damso,impardonnable,beyah,59,190
laylow,stars,stars,59,189
laylow,une histoire etrange,l'étrange histoire de mr. anderson,59,277
columbine,c'est pas grave,c'est pas grave,59,161
columbine,"pierre, feuille, papier, ciseaux","pierre, feuille, papier, ciseaux",59,225
DubInc,tout ce qu'ils veulent,hors contrôle,56,326
Luzia,Soleil bleu,Soleil bleu,56,246
Gojira,stranded,magma,56,269
Gojira,mea culpa,mea culpa,56,173
Muse,Uprising,the resistance,54,304
Muse,Supermassive black hole,Black holes and revelations,54,212
Benson Boone,cry,fireworks and rollerblades,54,186
Benson Boone,mystical magical,mystical magical,54,165
Damiano David,next summer,the first time,54,218
Damiano David,the first time,next summer,54,165
DubInc,atlas,atlas,52,302
DubInc,Rude boy,diversité,52,311
rohff,la puissance,au dela de mes limites,52,255
rohff,qui est l'exemple ?,qui est l'exemple ?,52,244
lacrim,joie de filles,veni vidi vici,52,165
lacrim,no lo sé,veni vidi vici,52,138
Eagles,Please come home for christmas,Please come home for christmas,51,177
Eagles,Hotel california,hotel california,51,391
Beatles,hey jude,1,51,429
Beatles,Let it be,let it be,51,243
Stéréophonics,Dacota,Decade in the sun,51,297
Stéréophonics,Maybe tomorrow,Decade in the sun,51,272
Oasis,Don't look back in anger,Don't look back in anger,51,287
Oasis,wonderall,(what'sthe story) morning glory ?,51,258
Sam smith,too good at goodbyes,the thrill of it all,51,201
Sam smith,im not the only one,in the lonely hour,51,239
TWICE,this is for,this is for,48,131
TWICE,Strategy,strategy,48,201
U2,With or without you,the joshua tree,47,295
U2,sunday bloody sunday,war,47,279
Lionel Ritchie,"Say you, say me",Dancing on the ceiling,47,244
Lionel Ritchie,All night long,Cant slow down,47,260
Madonna,la isla bonnita,true blue,47,242
Madonna,hung up,confessions on a dance floor,47,337
Prince,kiss,parade,47,226
Prince,purple rain,pruple rain,47,524
The Blaze,territory,territory,46,276
The Blaze,virile,territory,46,321
Ludovico Einaudi,Experience,einaudi in a time lapse,46,315
Queen,Bohemian Rhapsody,Bohemian Rhapsody,45,358
Queen,Another one bite the dust,the game,45,217
Indochine,L'aventurier,L'aventurier,45,231
Stromae,Formidable,racine carré,42,215
Stromae,L'enfer,multitude,42,189
Twenty One Pilots,Stressed Out,Blurryface,42,202
Maneskin,the loneliest,the loneliest,42,247
Maneskin,beggin',chosen,42,221
Tsew the kid,minuit 33,minuit 33,41,233
Tsew the kid,wouna,diavolana,41,191
Stromae,Ma meilleure ennemie,Arcane league of legends,41,147
Feu chatteron,Allons voir ,allons voir,40,229
Feu chatteron,le labyrinthe,labyrinthe,40,262
J Balvin,I like it,Invasion of privacy,40,253
J Balvin,Azul,Colores,40,205
Eagles,Hotel california,hotel california,40,391
Parcels,Sorry,loved,39,197
Parcels,Overnight,overnight,39,219
Inti-Illimani,Samba lando,viva italia,40,333
Inti-Illimani,Senora chichera,viva italia,40,292
Sombr,back to friends,back to friends,39,199
Sombr,Undressed,Undressed,39,182
Gracie Abrams,Call me when you break up,Call me when you break up,39,127
Gracie Abrams,That so true,the secret of us,39,166
Phoenix,Lisztomania,Wolfgang amadeus phoenix,39,241
Phoenix,if i ever feel better,united,39,266
Franck Ocean,White ferrari,Blonde,39,248
Franck Ocean,Pink + White,Blonde,39,184
Lana del Rey,Summertime sadness,born to die,39,265
Lana del Rey,Young and Beautiful,Young and Beautiful,7,236
Lana del Rey,Video Games,Video games,7,285
Taylor Swift,Cardigan,folklore,7,239
Taylor Swift,Shake it off,1989,39,226
Taylor Swift,Opalite,the life of a showgirl,39,235
Coldplay,The scientist,A rush of blood to the head,39,309
Hoshi,amour censure,etoile flippante,36,195
Hoshi,ta marinière,il suffit d'y croire,36,222
Naaman,Outta road,Rays of resistance,36,228
Naaman,Karma,Rays of resistance,36,212
Twenty One Pilots,Heathens,Heathens,34,195
Muse,Uprising,the resistance,34,304
YOASOBI,アイドル,アイドル,30,213
YOASOBI,watch me!,watch me!,30,186
OFFICIAL HIGE DANDISM,Same blue,Same blue,30,237
OFFICIAL HIGE DANDISM,Cry baby,Cry baby,30,240
BUMP OF CHICKEN,Souvenir,Souvenir,30,265
BUMP OF CHICKEN,I,I,30,246
Togenashi Togeari,ideal paradox,togeari,30,229
Togenashi Togeari,Wrong world,Wrong world,30,184
Kana Hanazawa,magical mode,magical mode,30,238
Kana Hanazawa,Circle ,circle,30,164
Toby Fox,Home,undertale soundtrack,30,123
Toby Fox,Megalovania,undertale soundtrack,30,156
Nao Touyama,Anohino Kotoba,Welcome to my wonderland,30,287
Nao Touyama,Maou,Maou,30,229
Juliana Chahayed,remember me,remember me,27,59
Juliana Chahayed,No surprises,No surprises,27,120
Starset,Carnivore,Transmissions,26,262
Starset,Hit has begun,Transmissions,26,316
MNQN,what have you become,mnqn,26,261
MNQN,animal oddity,mnqn,26,369
Mili,Trought Patches of Violet,Trought Patches of Violet,26,232
Mili,Hero,Hero,26,209
Sakuzyo,Kaijuu ni naritai,Kaijuu ni naritai,26,186
Sakuzyo,Imprinting,Fairrythm,26,117
Linkin park,Numb,Meteora,26,187
Queen,Don't stop me now,jazz,26,212
Aespa,whiplash,Whiplash - The 5th Mini Album,25,183
Aespa,richman,Richman - The 6th Mini Album,25,197
Babymonster,we go up,we go up,25,186
Babymonster,psycho,we go up,25,195
LE SSERAFIM,Spaghetti,spaghetti,25,172
LE SSERAFIM,Crazy,Crazy World,25,164
ILLIT,Magnetic,super real me,25,160
ILLIT,No cute anymore,No cute anymore,25,131
ITZY,Tunnel vision,Tunnel vision,25,185
ITZY,Girls will be girls,Girls will be girls,25,168
NMIXX,Run for Roses,Blue valentine,25,186
NMIXX,Blue Valentine,Fe304:Break,25,215
IDLE,POP/STARS,POP/STARS,25,191
IDLE,Queencard,i feel,25,161
fromis_9,Love me back,Love me back,25,174
fromis_9,Supersonic,Supersonic,25,186
Angèle,Fever,Fever,24,156
Angèle,Ta reine,Brol,24,213
Linkin park,In the end,Hybrid theory,23,216
Starset,My demons,Transmissions,23,288
Muse,Starlight,Black Holes and Revelations,23,243
Twenty One Pilots,Stressed Out,Blurryface,23,202
Imagine dragons,Believer,Evolve,23,202
Pink floyd,Wish you were here,Wish you were here,23,330
Beatles,Let it be,let it be,23,243
Queen,Bohemian Rhapsody,Bohemian Rhapsody,23,358
Cult to Follow,Murder Melody,The inception,23,224
Cult to Follow,Live it all behind,Live it all behind,23,233
Konceal,Blue beam project,Kollection,23,292
Konceal,Life after death,Kollection,23,254
One Ok Rock,make it out alive,make it out alive,23,209
One Ok Rock,we are,ambitions,23,255
System Of A Down,Lonely day,Hypnotize,23,168
System Of A Down,Toxicity,Toxicity,23,218
Nirvana,Smells like teen spririt,Nevermind,23,301
Nirvana,Come as you are,Nevermind,23,218
NickelBack,Far away,Far away,23,241
NickelBack,How you remind me,The best of NickelBack,23,224
The Rollings Stones,Angie,Made in the shade,23,271
The Rollings Stones,Paint it black,Big hits,23,202
AC/DC,Back in black,Back in black,23,253
AC/DC,Thunderstruck,The razors edge,23,292
Green Day,American idiot,American Idiot,23,174
Green Day,Boulevard of broken dreams,Boulevard of broken dreams,23,261
The Offspring,Pretty Fly (For a white guy) ,Americana,23,189
The Offspring,The kids aren't all right,Americana,23,180
Gorillaz,Clint eastwood,Gorillaz,23,340
Gorillaz,Feel Good Inc.,Demon Days,23,222
Kyo,Le graal,L'équilibre,23,191
Kyo,Dernière danse,Le chemin,23,227
The Cranberries,Linger,"Everybody Else Is Doing It, So Why Can't We?",23,274
The Cranberries,Zombie ,Girls and Guitars,23,307
Scorpions,Wind of change,Crazy World,23,312
Scorpions,Still loving you,Comeblack,23,403
Eminem,Lose yourself,Curtain Call : the hits,23,326
Eminem,Without me,The eminem show,23,290
Bewhy,Gottasadae,The movie star,22,133
Bewhy,Side By Side,Sweet Home OST,22,169
HKT48,Otona Ressya,092 (type-b),21,249
HKT48,12 seconds,12 seconds,21,225
Hatsune miku,Levan Polkka,Levan Polkka,21,152
Hatsune miku,Dance of corpse,Kikuo miku 3,21,227
The Mamas and the Papas,Monday Monday,Greatest Hits,20,181
The Mamas and the Papas,California Dreamin',Greatest Hits,20,164
Green Day,American idiot,American Idiot,19,174
Stromae,Batard,Racine carré,19,208
LMFAO,Party tock anthem,Sorry For Party Rocking,19,263
LMFAO,Sexy and i know it,Sorry For Party Rocking,19,199
Daft Punk,Loose yourself to dance,Random Access Memories,19,353
Daft Punk,Veridis Quo,Discovery,19,345
Pharell Williams,Happy,G I R L,19,233
Pharell Williams,Freedom,Freedom,19,162
Clean Bandit,Rather Be,Rather Be,19,227
Clean Bandit,Solo,Solo,19,222
Jess Glynne,My Love,My Love,19,259
Jess Glynne,Hold My Hand,I Cry When I Laugh,19,237
Arctic Monkeys,5O5,Favourite Wrost Nightmare,16,253
Arctic Monkeys,Do i Wanna Know,AM,16,272
Bekar,2k17,Alba,16,192
Bekar,Dehors,Mirasierra,16,164
Ninho,La vie qu'on mène ,Destin,16,193
Ninho,SALE ETAT,SALE ETAT,16,202
Niska,Adriano,Adriano,16,142
Niska,Bâtiment,Mr Sal,16,211
Georgio,Vendredi 13,Gloria,16,194
Georgio,Le temps n'emporte rien,Gloria,16,203
Teddy swims,The door,I've Tried Everything But Therapy,15,212
Teddy swims,Lose control,I've Tried Everything But Therapy,15,210
Peyton parrish ,My Mother Told Me,My Mother Told Me,15,130
Peyton parrish ,Valhalla Calling,Valhalla Calling,15,212
Rag'n'Bone man,Human,Human,15,199
Rag'n'Bone man,Skin,Huamn,15,239
Gims,SOIS PAS TIMIDE,SOIS PAS TIMIDE,15,165
Gims,PARISIENNE,PARISIENNE,15,158
Thea,TÉLÉPHONE!,TÉLÉPHONE!,14,152
Thea,Juste amis,PANAME ŒSTROS POUBELLE,14,202
H-Tône,Trône,"Orage, O.D d'esoir",11,228
H-Tône,Bétail,"Orage, O.D d'esoir",11,242
Irracible,Gay Mafia,Fêlé,11,192
Irracible,Fêlé,Fêlé,11,150
Salem,Red River,Fires In Heaven,11,226
Salem,Starfall,I'm Still in the Night,11,168
